case_id,control_family,comment,detection_status,decision,ignored_by_whitelist,whitelist_expression,whitelist_reason,detection_engine,predicted_key,code,rule_id,rule_scope,regulatory_family,section,category,matched_term,detection_type,score,branch_score,generic_score,spacy_score,gliner_score,regex_score,severity,evidence
case_005,generic,Terme interdit issu de Mots_interdits: menteur.,active,alerte active,False,,,generic,mots_interdits_046_menteur,mots_interdits_046_menteur,mots_interdits_046_menteur,general,jugements_de_valeur_et_commentaires_subjectifs,document,jugements_de_valeur_et_commentaires_subjectifs,menteur,exact,0.85,0.85,0.85,,,,high,Le conseiller a ecrit que le client est menteur.
case_005,generic,Terme interdit issu de Mots_interdits: menteur.,active,alerte active,False,,,spacy,mots_interdits_046_menteur,mots_interdits_046_menteur,mots_interdits_046_menteur,general,jugements_de_valeur_et_commentaires_subjectifs,document,jugements_de_valeur_et_commentaires_subjectifs,menteur,exact,0.85,0.85,,0.85,,,high,Le conseiller a ecrit que le client est menteur.
case_006,generic,Expression interdite issue de Mots_interdits: Client desagreable.,active,alerte active,False,,,generic,mots_interdits_044_client_desagreable,mots_interdits_044_client_desagreable,mots_interdits_044_client_desagreable,general,jugements_de_valeur_et_commentaires_subjectifs,document,jugements_de_valeur_et_commentaires_subjectifs,Client désagréable,exact,0.85,0.85,0.85,,,,high,Commentaire interne: client desagreable lors de l'entretien.
case_006,generic,Expression interdite issue de Mots_interdits: Client desagreable.,active,alerte active,False,,,spacy,mots_interdits_044_client_desagreable,mots_interdits_044_client_desagreable,mots_interdits_044_client_desagreable,general,jugements_de_valeur_et_commentaires_subjectifs,document,jugements_de_valeur_et_commentaires_subjectifs,Client désagréable,exact,0.85,0.85,,0.85,,,high,Commentaire interne: client desagreable lors de l'entretien.
case_007,generic,Expression interdite issue de Mots_interdits: numero de securite sociale.,active,alerte active,False,,,generic,mots_interdits_066_numero_de_securite_sociale,mots_interdits_066_numero_de_securite_sociale,mots_interdits_066_numero_de_securite_sociale,general,informations_personnelles_non_necessaires,document,informations_personnelles_non_necessaires,numéro de sécurité sociale,exact,0.85,0.85,0.85,,,,high,Le dossier precise le numero de securite sociale du client.
case_007,generic,Expression interdite issue de Mots_interdits: numero de securite sociale.,active,alerte active,False,,,spacy,mots_interdits_066_numero_de_securite_sociale,mots_interdits_066_numero_de_securite_sociale,mots_interdits_066_numero_de_securite_sociale,general,informations_personnelles_non_necessaires,document,informations_personnelles_non_necessaires,numéro de sécurité sociale,exact,0.85,0.85,,0.85,,,high,Le dossier precise le numero de securite sociale du client.
case_008,generic,Expression interdite issue de Mots_interdits: adresse email privee.,active,alerte active,False,,,generic,mots_interdits_071_adresse_email_privee,mots_interdits_071_adresse_email_privee,mots_interdits_071_adresse_email_privee,general,informations_personnelles_non_necessaires,document,informations_personnelles_non_necessaires,adresse email privée,exact,0.85,0.85,0.85,,,,high,La fiche contient une adresse email privee de l'adherent.
case_008,generic,Expression interdite issue de Mots_interdits: adresse email privee.,active,alerte active,False,,,spacy,mots_interdits_071_adresse_email_privee,mots_interdits_071_adresse_email_privee,mots_interdits_071_adresse_email_privee,general,informations_personnelles_non_necessaires,document,informations_personnelles_non_necessaires,adresse email privée,exact,0.85,0.85,,0.85,,,high,La fiche contient une adresse email privee de l'adherent.
case_009,generic,Expression interdite issue de Mots_interdits: mot de passe.,active,alerte active,False,,,generic,mots_interdits_077_mot_de_passe,mots_interdits_077_mot_de_passe,mots_interdits_077_mot_de_passe,general,donnees_bancaires_ou_de_securite_non_chiffrees,document,donnees_bancaires_ou_de_securite_non_chiffrees,mot de passe,exact,0.85,0.85,0.85,,,,high,Le document indique un mot de passe communique en clair.
case_009,generic,Expression interdite issue de Mots_interdits: mot de passe.,active,alerte active,False,,,spacy,mots_interdits_077_mot_de_passe,mots_interdits_077_mot_de_passe,mots_interdits_077_mot_de_passe,general,donnees_bancaires_ou_de_securite_non_chiffrees,document,donnees_bancaires_ou_de_securite_non_chiffrees,mot de passe,exact,0.85,0.85,,0.85,,,high,Le document indique un mot de passe communique en clair.
case_010,generic,Expression interdite issue de Mots_interdits: code CVV.,active,alerte active,False,,,generic,mots_interdits_076_code_cvv,mots_interdits_076_code_cvv,mots_interdits_076_code_cvv,general,donnees_bancaires_ou_de_securite_non_chiffrees,document,donnees_bancaires_ou_de_securite_non_chiffrees,code CVV,exact,0.85,0.85,0.85,,,,high,La note mentionne un code CVV saisi en clair.
case_010,generic,Expression interdite issue de Mots_interdits: code CVV.,active,alerte active,False,,,spacy,mots_interdits_076_code_cvv,mots_interdits_076_code_cvv,mots_interdits_076_code_cvv,general,donnees_bancaires_ou_de_securite_non_chiffrees,document,donnees_bancaires_ou_de_securite_non_chiffrees,code CVV,exact,0.85,0.85,,0.85,,,high,La note mentionne un code CVV saisi en clair.
case_011,generic,Faute volontaire sur Mots_interdits: depression.,active,alerte active,False,,,generic,mots_interdits_008_depression,article9_donnees_sensibles_article_9_rgpd,mots_interdits_008_depression,article9,rgpd_article_9,document,donnees_sensibles_article_9_rgpd,depresion,fuzzy,0.75,0.75,0.75,,,,critical,Le dossier mentionne une depresion ancienne.
case_011,generic,Faute volontaire sur Mots_interdits: depression.,active,alerte active,False,,,spacy,mots_interdits_008_depression,article9_donnees_sensibles_article_9_rgpd,mots_interdits_008_depression,article9,rgpd_article_9,document,donnees_sensibles_article_9_rgpd,depresion,fuzzy,0.74,0.74,,0.74,,,critical,Le dossier mentionne une depresion ancienne.
case_012,generic,Faute volontaire sur Mots_interdits: Handicap.,active,alerte active,False,,,generic,mots_interdits_001_handicap,article9_donnees_sensibles_article_9_rgpd,mots_interdits_001_handicap,article9,rgpd_article_9,document,donnees_sensibles_article_9_rgpd,handicaape,fuzzy,0.75,0.75,0.75,,,,critical,Le client est handicaape depuis plusieurs annees.
case_012,generic,Faute volontaire sur Mots_interdits: Handicap.,active,alerte active,False,,,spacy,mots_interdits_001_handicap,article9_donnees_sensibles_article_9_rgpd,mots_interdits_001_handicap,article9,rgpd_article_9,document,donnees_sensibles_article_9_rgpd,handicaape,fuzzy,0.74,0.74,,0.74,,,critical,Le client est handicaape depuis plusieurs annees.
case_012,generic,Faute volontaire sur Mots_interdits: Handicap.,active,alerte active,False,,,gliner,gliner_handicap,gliner_handicap,gliner_handicap,gliner,gliner,document,handicap,handicaape,entity,0.5,0.5,,,0.5,,medium,Le client est handicaape depuis plusieurs annees.
case_012,generic,Faute volontaire sur Mots_interdits: Handicap.,active,alerte active,False,,,gliner,gliner_religion,gliner_religion,gliner_religion,gliner,gliner,document,religion,handicaape,entity,0.72,0.72,,,0.72,,medium,Le client est handicaape depuis plusieurs annees.
case_013,generic,Meme racine/pluriel autour de Mots_interdits: alcoolique.,active,alerte active,False,,,generic,mots_interdits_012_alcoolique,article9_donnees_sensibles_article_9_rgpd,mots_interdits_012_alcoolique,article9,rgpd_article_9,document,donnees_sensibles_article_9_rgpd,alcooliques,root,0.82,0.82,0.82,,,,critical,La note parle de problemes alcooliques.
case_013,generic,Meme racine/pluriel autour de Mots_interdits: alcoolique.,active,alerte active,False,,,generic,mots_interdits_054_alcoolique,mots_interdits_054_alcoolique,mots_interdits_054_alcoolique,general,jugements_de_valeur_et_commentaires_subjectifs,document,jugements_de_valeur_et_commentaires_subjectifs,alcooliques,root,0.77,0.77,0.77,,,,high,La note parle de problemes alcooliques.
case_013,generic,Meme racine/pluriel autour de Mots_interdits: alcoolique.,active,alerte active,False,,,spacy,mots_interdits_012_alcoolique,article9_donnees_sensibles_article_9_rgpd,mots_interdits_012_alcoolique,article9,rgpd_article_9,document,donnees_sensibles_article_9_rgpd,alcooliques,lemma,0.83,0.83,,0.83,,,critical,La note parle de problemes alcooliques.
case_013,generic,Meme racine/pluriel autour de Mots_interdits: alcoolique.,active,alerte active,False,,,spacy,mots_interdits_054_alcoolique,mots_interdits_054_alcoolique,mots_interdits_054_alcoolique,general,jugements_de_valeur_et_commentaires_subjectifs,document,jugements_de_valeur_et_commentaires_subjectifs,alcooliques,lemma,0.78,0.78,,0.78,,,high,La note parle de problemes alcooliques.
case_014,generic,Faute volontaire sur Mots_interdits: numero de securite sociale.,active,alerte active,False,,,generic,mots_interdits_066_numero_de_securite_sociale,mots_interdits_066_numero_de_securite_sociale,mots_interdits_066_numero_de_securite_sociale,general,informations_personnelles_non_necessaires,document,informations_personnelles_non_necessaires,numero de securite social,fuzzy,0.7,0.7,0.7,,,,high,Le dossier contient un numero de securite social.
case_014,generic,Faute volontaire sur Mots_interdits: numero de securite sociale.,active,alerte active,False,,,spacy,mots_interdits_055_marginal,mots_interdits_055_marginal,mots_interdits_055_marginal,general,jugements_de_valeur_et_commentaires_subjectifs,document,jugements_de_valeur_et_commentaires_subjectifs,social,fuzzy,0.69,0.69,,0.69,,,high,Le dossier contient un numero de securite social.
case_014,generic,Faute volontaire sur Mots_interdits: numero de securite sociale.,active,alerte active,False,,,spacy,mots_interdits_066_numero_de_securite_sociale,mots_interdits_066_numero_de_securite_sociale,mots_interdits_066_numero_de_securite_sociale,general,informations_personnelles_non_necessaires,document,informations_personnelles_non_necessaires,numero de securite social,lemma,0.78,0.78,,0.78,,,high,Le dossier contient un numero de securite social.
case_015,generic,Faute volontaire sur Mots_interdits: traitement lourd.,active,alerte active,False,,,generic,mots_interdits_016_traitement_lourd,article9_donnees_sensibles_article_9_rgpd,mots_interdits_016_traitement_lourd,article9,rgpd_article_9,document,donnees_sensibles_article_9_rgpd,traitement lour,fuzzy,0.75,0.75,0.75,,,,critical,Le client a un traitement lour.
case_015,generic,Faute volontaire sur Mots_interdits: traitement lourd.,active,alerte active,False,,,spacy,mots_interdits_016_traitement_lourd,article9_donnees_sensibles_article_9_rgpd,mots_interdits_016_traitement_lourd,article9,rgpd_article_9,document,donnees_sensibles_article_9_rgpd,traitement lour,fuzzy,0.74,0.74,,0.74,,,critical,Le client a un traitement lour.
case_016,ExpReg,numero de telephone avec des caracteres speciaux pour la separation,active,alerte active,False,,,regex,PHONE_NUMBER_FR,regex_phone_number_fr,PHONE_NUMBER_FR,regex,donnees_personnelles_structurees,document,phone_number_fr,06.02 01-0908,regex,0.9,0.9,,,,0.9,medium,contact 06.02 01-0908
case_017,ExpReg,contact email,active,alerte active,False,,,regex,EMAIL_ADDRESS,regex_email_address,EMAIL_ADDRESS,regex,donnees_personnelles_structurees,document,email_address,test@yahoo.fr,regex,0.95,0.95,,,,0.95,medium,contact test@yahoo.fr
case_018,ExpREg,racine commune mais pas synonyme ,active,alerte active,False,,,gliner,gliner_autisme,gliner_autisme,gliner_autisme,gliner,gliner,document,autisme,autiste,entity,0.76,0.76,,,0.76,,medium,autiste
case_019,Gliner,vision politique,active,alerte active,False,,,gliner,gliner_ideologie_politique,gliner_ideologie_politique,gliner_ideologie_politique,gliner,gliner,document,ideologie_politique,extreme droite,entity,0.55,0.55,,,0.55,,medium,c'est une personne qui siege a l'assemblé et a une vision à l'extreme droite
case_021,Generic,test de la whiteList,ignored_by_whitelist,detecte puis ignore par whitelist,True,carac handicap,Produit CARAC,generic,mots_interdits_001_handicap,article9_donnees_sensibles_article_9_rgpd,mots_interdits_001_handicap,article9,rgpd_article_9,document,donnees_sensibles_article_9_rgpd,Handicap,exact,0.9,0.9,0.9,,,,critical,le prospect souahite CARAC handicap
case_021,Generic,test de la whiteList,ignored_by_whitelist,detecte puis ignore par whitelist,True,carac handicap,Produit CARAC,spacy,mots_interdits_001_handicap,article9_donnees_sensibles_article_9_rgpd,mots_interdits_001_handicap,article9,rgpd_article_9,document,donnees_sensibles_article_9_rgpd,Handicap,exact,0.9,0.9,,0.9,,,critical,le prospect souahite CARAC handicap
case_021,Generic,test de la whiteList,ignored_by_whitelist,detecte puis ignore par whitelist,True,carac handicap,Produit CARAC,gliner,gliner_religion,gliner_religion,gliner_religion,gliner,gliner,document,religion,CARAC,entity,0.56,0.56,,,0.56,,medium,le prospect souahite CARAC handicap
case_021,Generic,test de la whiteList,ignored_by_whitelist,detecte puis ignore par whitelist,True,carac handicap,Produit CARAC,gliner,gliner_handicap,gliner_handicap,gliner_handicap,gliner,gliner,document,handicap,handicap,entity,0.77,0.77,,,0.77,,medium,le prospect souahite CARAC handicap
case_022,Spacy,test d'identification d un synonyme de malaldie,active,alerte active,False,,,spacy,mots_interdits_005_maladie,article9_donnees_sensibles_article_9_rgpd,mots_interdits_005_maladie,article9,rgpd_article_9,document,donnees_sensibles_article_9_rgpd,pathologies,lemma,0.79,0.79,,0.79,,,critical,la personne a plusieurs pathologies
case_023,Spacy,detection d un mots similaire à menteur,active,alerte active,False,,,spacy,mots_interdits_046_menteur,mots_interdits_046_menteur,mots_interdits_046_menteur,general,jugements_de_valeur_et_commentaires_subjectifs,document,jugements_de_valeur_et_commentaires_subjectifs,menteuse,lemma,0.78,0.78,,0.78,,,high,la personne est une menteuse
case_024,Spacy,phrase sans contexte extension du cas 19 et 20,active,alerte active,False,,,gliner,gliner_ideologie_politique,gliner_ideologie_politique,gliner_ideologie_politique,gliner,gliner,document,ideologie_politique,extreme droite,entity,0.6,0.6,,,0.6,,medium,extreme droite
case_025,Gliner,Test d identification d une malaide non presente dans les mots interdit,active,alerte active,False,,,gliner,gliner_maladie,gliner_maladie,gliner_maladie,gliner,gliner,document,maladie,diabète de type 2,entity,0.76,0.76,,,0.76,,medium,Le dossier mentionne un diabète de type 2.
case_027,Gliner,Detection GLiNER d une pathologie absente des mots interdits,active,alerte active,False,,,gliner,gliner_maladie,gliner_maladie,gliner_maladie,gliner,gliner,document,maladie,sclerose en plaques,entity,0.51,0.51,,,0.51,,medium,Le questionnaire signale une sclerose en plaques stabilisee.
case_028,ExpReg,Detection regex d un IBAN francais sans mot cle generique IBAN,active,alerte active,False,,,regex,IBAN_FR,regex_iban_fr,IBAN_FR,regex,donnees_personnelles_structurees,document,iban_fr,FR76 3000 6000 0112 3456 7890 189,regex,0.95,0.95,,,,0.95,medium,Reference transmise: FR76 3000 6000 0112 3456 7890 189.
case_029,Spacy,variante du cas 26 avec accent sur montrée,active,alerte active,False,,,spacy,mots_interdits_045_agressif,mots_interdits_045_agressif,mots_interdits_045_agressif,general,jugements_de_valeur_et_commentaires_subjectifs,document,jugements_de_valeur_et_commentaires_subjectifs,agressive,lemma,0.78,0.78,,0.78,,,high,La cliente s'est montrée agressive pendant l'entretien.
case_030,Spacy,Detection par lemmatisation spaCy de agressives vers agressif sans synonyme configure,active,alerte active,False,,,spacy,mots_interdits_045_agressif,mots_interdits_045_agressif,mots_interdits_045_agressif,general,jugements_de_valeur_et_commentaires_subjectifs,document,jugements_de_valeur_et_commentaires_subjectifs,agressives,lemma,0.78,0.78,,0.78,,,high,Les clientes sont agressives pendant l'entretien.
